pc11_district_id,pc11_state_id,pc11_subdistrict_id,secc_cons_rural,secc_cons_pc_rural,secc_pov_rate_rural,secc_pov_rate_tend_rural,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share
055,04,00277,118465.74586361079,28833.38118596586,0.07369825136828494,0.04525749065501217,0.0,0.0,1.0,1.0
252,12,01667,52556.99694042488,11854.52279188368,0.7288889035913679,0.6622222267256843,0.0,0.0,1.0,1.0
324,18,02146,63995.44921875,13444.6572265625,0.5048245787620544,0.45307016372680664,0.0,0.0,1.0,1.0
326,18,02146,82257.40625,18331.20703125,0.20679886639118195,0.12747874855995178,0.0,0.0,1.0,1.0
371,21,02774,49001.70703125,11518.330078125,0.7290836572647095,0.48605579137802124,0.0,0.0,1.0,1.0
374,21,02821,70885.828125,16672.849609375,0.2463017702102661,0.17973372340202332,0.0,0.0,1.0,1.0
386,21,03044,125623.3203125,25453.091796875,0.0,0.0,0.0,0.0,1.0,1.0
521,27,04194,139714.28125,32886.1484375,0.03938927873969078,0.025605682283639908,0.0,0.0,1.0,1.0
626,33,05861,82756.7421875,19475.82421875,0.12692463397979736,0.07159333676099777,0.0,0.0,1.0,1.0
001,01,00001,80793.71742723841,12768.75284690682,0.5257714134787911,0.40408980673585043,0.0436750386290812,0.0436750386290812,1.0,1.0
001,01,00002,91019.49143112144,15224.992008873596,0.3583646934022387,0.22914493538741443,0.0314065487992304,0.0314065487992304,1.0,1.0
001,01,00003,81862.8992352016,17342.665459266234,0.33609883930640305,0.23980660500399922,0.0,0.0,1.0,1.0
002,01,00004,89786.94386560268,14717.123443650486,0.38768462299696727,0.24514718864487847,0.0388188650215989,0.0388188650215989,1.0,1.0
002,01,00005,88137.26921699302,12909.338142932953,0.5607988920220258,0.3605037656426649,0.0,0.0,1.0,1.0
002,01,00006,82786.86078887204,11893.530283301687,0.6129778348768463,0.42044603110580414,0.0,0.0,1.0,1.0
002,01,00007,98950.16620661817,15321.199770396664,0.35707081657673473,0.2095992368290615,0.0,0.0,1.0,1.0
002,01,00008,104295.15778709226,16360.793632969273,0.3124985499388574,0.1464374811258861,0.0060262511746339,0.0060262511746339,1.0,1.0
002,01,00009,82711.24021082539,11544.793271187556,0.599557164264944,0.4223793901086289,0.0,0.0,1.0,1.0
003,01,00010,106085.0481087844,22111.96577276414,0.17360058974278392,0.12129498283454225,0.0,0.0,1.0,1.0
003,01,00011,108380.62063979406,22064.725118268845,0.16134269352320124,0.11144414043923906,0.0,0.0,1.0,1.0
003,01,00012,107537.8275728734,19304.51351179028,0.23022849858853284,0.15166562899336056,0.0,0.0,1.0,1.0
004,01,00013,95632.55530867413,15546.816647372074,0.3759882229381784,0.2746273229551047,0.0,0.0,1.0,1.0
004,01,00014,76199.27972374177,11971.992641762445,0.5932665097629094,0.4810855624679308,0.0,0.0,1.0,1.0
004,01,00015,98732.68507038217,18683.222016418542,0.2669648510600216,0.1907644969859739,0.0,0.0,1.0,1.0
005,01,00016,80513.06320370256,15824.030454268406,0.37241320426947805,0.2634638359984964,0.0,0.0,1.0,1.0
005,01,00017,68852.96114697728,13953.369239337406,0.4802457418148953,0.3421201464170372,0.0,0.0,1.0,1.0
005,01,00018,87006.73072409903,16141.128733734678,0.3512937640449177,0.24060732300088125,0.0,0.0,1.0,1.0
005,01,00019,78311.42468221585,15626.983633235524,0.37421724130188816,0.2514286070634165,0.0,0.0,1.0,1.0
006,01,00020,86323.58707093529,17585.15618240594,0.300132439550569,0.19971913252513132,0.0,0.0,1.0,1.0
006,01,00021,91066.84270364646,19626.81816908724,0.23301310528526412,0.1524540126151148,0.0,0.0,1.0,1.0
006,01,00022,90787.04611539359,18639.557526459183,0.26008459447788834,0.162882129292031,0.0,0.0,1.0,1.0
006,01,00023,74993.32903348486,14914.95794958382,0.4125933767353214,0.27549725990283785,0.0,0.0,1.0,1.0
006,01,00024,79552.98492120951,17807.616750024405,0.31393879305490885,0.19389694133145677,0.0,0.0,1.0,1.0
006,01,00025,96086.82446837315,21864.80293272473,0.24506699944698254,0.15789024419803557,0.0029490684487646,0.0029490684487646,1.0,1.0
006,01,00026,102952.84273301803,23896.56468582253,0.1596630638760688,0.0873697774191302,0.0,0.0,1.0,1.0
007,01,00027,96215.04315425832,18832.867024340223,0.25711362216354466,0.16600157800155058,0.0,0.0,1.0,1.0
007,01,00028,94912.07152242953,18133.32123397336,0.2807057510051658,0.1868116099149281,0.0,0.0,1.0,1.0
007,01,00029,78684.83049810288,14063.694600526545,0.4431331523092421,0.3011133257029073,0.0029785198712931,0.0029785198712931,1.0,1.0
007,01,00030,108008.08308851832,21417.74340566932,0.2201999909008206,0.15266604365654451,0.0160924961233662,0.0160924961233662,1.0,1.0
007,01,00031,118609.84845715814,24573.459126042995,0.1296194627505812,0.08696395351834818,0.0051040894489745,0.0051040894489745,1.0,1.0
008,01,00032,97532.71378634447,16149.677327336962,0.3174878355031446,0.19525786503247838,0.0,0.0,1.0,1.0
008,01,00033,98734.81337668652,16150.992508872883,0.3053675873002128,0.1830555054940484,0.0,0.0,1.0,1.0
008,01,00034,96062.25823786657,15742.21197677919,0.3287742015711907,0.2075978201322972,0.0,0.0,1.0,1.0
008,01,00035,99735.23722481701,16757.93538808293,0.27289244297241483,0.16933104875353144,0.0,0.0,1.0,1.0
008,01,00037,84776.43353572369,15219.641395414048,0.3939873157620905,0.2895400667091682,0.0,0.0,1.0,1.0
008,01,00038,79740.76063522373,14393.683543942136,0.44484354824042954,0.3323357653792367,0.0,0.0,1.0,1.0
008,01,00039,95087.66270721307,16488.180203729906,0.25674842620162985,0.15159392555190104,0.0,0.0,1.0,1.0
009,01,00040,88079.05286988872,11563.219964469801,0.633497029977648,0.5565265651911326,0.0,0.0,1.0,1.0
009,01,00041,80379.18944072053,14408.976735876011,0.4479398656807162,0.33877234289163777,0.0070810553331863,0.0070810553331863,1.0,1.0
009,01,00042,89045.61314544607,14254.6425380317,0.42031979693344623,0.27733075028512183,0.0013695672707155,0.0013695672707155,1.0,1.0
010,01,00043,93015.38216587421,14852.052976591141,0.2914488291871537,0.16200281966317148,0.0,0.0,1.0,1.0
010,01,00044,99346.65983962595,17415.53341664796,0.26380298906748445,0.1714279225389045,0.0,0.0,1.0,1.0
011,01,00045,101330.19812988392,17175.483851991183,0.28528326414910493,0.16960312483204484,0.018161873776847,0.018161873776847,1.0,1.0
011,01,00046,83635.52211659614,13718.215186880085,0.46630139515100344,0.3310256550049526,0.0,0.0,1.0,1.0
011,01,00047,95657.62248445432,16272.351400598825,0.2614912632136478,0.14348105485945334,0.0,0.0,1.0,1.0
012,01,00048,99620.64634278876,16818.928249289063,0.24302249036687193,0.13838204807766735,0.0,0.0,1.0,1.0
012,01,00049,100220.72301661153,17230.664903570447,0.24637911551621186,0.1444690238581214,0.0,0.0,1.0,1.0
012,01,00050,93381.68301025729,17640.761414779696,0.26737145081676195,0.18962242910887742,0.0,0.0,1.0,1.0
012,01,00051,98728.58197977679,18148.389789361714,0.22306551555302723,0.13623085459239814,0.0,0.0,1.0,1.0
013,01,00052,96162.58351689496,17037.442503093964,0.26786411762082063,0.17330255552643792,0.0301614936663264,0.0301614936663264,1.0,1.0
014,01,00053,79750.73501436555,15407.862886632483,0.3585490438276221,0.25629346178118895,0.0,0.0,1.0,1.0
014,01,00054,96658.37654325372,17783.077850850164,0.193919876514585,0.11002477566781273,0.0,0.0,1.0,1.0
014,01,00055,101206.4552732308,18877.132442490896,0.17140756751875105,0.09294555461363226,0.0,0.0,1.0,1.0
