ac07_id,secc_cons_rural,secc_cons_pc_rural,secc_pov_rate_rural,secc_pov_rate_tend_rural,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share,_frag_pop_share
2007-19-090,79616.0234375,19955.23828125,0.1406048834323883,0.08687258511781693,0.0,0.0,1.0,1.0,0.0
2007-19-176,72631.0546875,17686.603515625,0.15469062328338623,0.06886227428913116,0.0,0.0,1.0,1.0,0.0
2007-20-059,106057.5234375,23741.3671875,0.1208140105009079,0.07753735035657883,0.0,0.0,1.0,1.0,0.0
2007-20-047,78440.453125,16937.470703125,0.32430213689804077,0.2339901477098465,0.0,0.0,1.0,1.0,0.0
2007-21-048,76373.421875,16851.07421875,0.12099643796682358,0.07117437571287155,0.0,0.0,1.0,1.0,0.0
2007-24-152,132829.125,25242.435546875,0.04059040546417236,0.014760147780179977,0.0,0.0,1.0,1.0,0.0
2007-27-096,118004.71875,23902.705078125,0.20390309393405914,0.10834454745054245,0.0,0.0,1.0,1.0,0.0
2007-27-080,115925.3203125,24866.15625,0.11782477051019669,0.06948640197515488,0.0,0.0,1.0,1.0,0.0
2007-30-007,123357.640625,28759.482421875,0.060505133122205734,0.0480155423283577,0.0,0.0,1.0,1.0,0.0
2007-10-189,86160.0234375,15937.3974609375,0.37045469880104065,0.2616834342479706,0.0,0.0,0.1211660625407376,0.9333663362159872,1.0
2007-16-011,73154.74792898209,17770.10429624545,0.2688187628465861,0.19536134780412454,0.0,0.0,0.053784077225759,0.6322883239963373,1.0
2007-28-040,85945.328125,24083.279296875,0.08551828563213348,0.0436021164059639,0.0,0.0,0.30762560187889,0.9186251838387904,1.0
2007-28-111,86592.73079320483,22927.12592387208,0.09033224140450077,0.05168880176898674,0.0,0.0,0.7558247355900859,0.9186251838387904,1.0
2007-29-081,119523.27858763967,27306.531092952297,0.03828972510056809,0.006381621118932107,0.0,0.0,0.044558944716434,0.7730618121654185,1.0
2007-29-082,119523.27858763967,27306.531092952297,0.03828972510056809,0.006381621118932107,0.0,0.0,0.030801217244862,0.7730618121654185,1.0
2007-29-084,119523.27858763967,27306.531092952297,0.03828972510056809,0.006381621118932107,0.0,0.0,0.0241833738718992,0.7730618121654185,1.0
2007-29-101,119523.27858763967,27306.531092952297,0.03828972510056809,0.006381621118932107,0.0,0.0,0.0265932933404218,0.7730618121654185,1.0
2007-29-132,119523.27858763967,27306.531092952297,0.03828972510056809,0.006381621118932107,0.0,0.0,0.0504850697524211,0.7730618121654185,1.0
2007-29-144,119523.27858763967,27306.531092952297,0.03828972510056809,0.006381621118932107,0.0,0.0,0.0269963358299975,0.7730618121654185,1.0
2007-01-001,90293.70732774866,16445.475796744948,0.40492317241882597,0.3046492834783679,0.0,0.0,1.0,1.0,0.0
2007-01-002,94081.23027602745,15654.086179701462,0.33188093248684714,0.20676578678003815,0.0177620491176023,0.0177620491176023,0.9962174348974144,0.3148116796671067,0.0044356078885104
2007-01-003,82550.49888549968,13452.808794327066,0.49050585691481285,0.3603272863315101,0.0,0.0,1.0,1.0,0.0
2007-01-005,103546.98293523704,17834.497346008717,0.21780511616109147,0.11880540944271162,0.0,0.0,1.0,1.0,0.0
