ac08_id,secc_cons_rural,secc_cons_pc_rural,secc_pov_rate_rural,secc_pov_rate_tend_rural,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share,_frag_pop_share
2008-08-180,115545.625,24526.1953125,0.08490566164255142,0.04363207519054413,0.0,0.0,1.0,1.0,0.0
2008-19-117,95675.3203125,23684.560546875,0.10724779963493347,0.06170421093702316,0.0,0.0,1.0,1.0,0.0
2008-19-185,72631.0546875,17686.603515625,0.15469062328338623,0.06886227428913116,0.0,0.0,1.0,1.0,0.0
2008-20-048,106057.5234375,23741.3671875,0.1208140105009079,0.07753735035657883,0.0,0.0,1.0,1.0,0.0
2008-27-123,111665.1171875,19675.779296875,0.1698455959558487,0.11625795066356659,0.0,0.0,1.0,1.0,0.0
2008-27-248,83771.328125,17647.046875,0.24468791484832764,0.17662683129310608,0.0,0.0,1.0,1.0,0.0
2008-29-073,47637.3359375,9527.466796875,1.0,1.0,0.0,0.0,1.0,1.0,0.0
2008-29-094,60576.8515625,14771.009765625,0.30869001150131226,0.12191958725452423,0.0,0.0,1.0,1.0,0.0
2008-30-005,149873.140625,35031.32421875,0.032229963690042496,0.019454123452305794,0.0,0.0,1.0,1.0,0.0
2008-30-021,135879.359375,31374.26171875,0.0616285540163517,0.041550472378730774,0.0,0.0,1.0,1.0,0.0
2008-30-029,125559.53125,29742.23046875,0.045087482780218124,0.024899058043956757,0.0,0.0,1.0,1.0,0.0
2008-29-132,116104.3984375,31525.03515625,0.20529800653457642,0.17218543589115143,0.0,0.0,1.0,1.0,0.0
2008-06-087,135924.0625,22883.681640625,0.07526881992816925,0.0350230410695076,0.0,0.0,0.5705451100986942,0.5705451100986942,1.0
2008-07-002,137367.9921877001,28098.68545462744,0.06649396025676205,0.040980815588346584,0.0,0.0,0.0261287936933162,0.0390508947317586,1.0
2008-07-003,137367.9921877001,28098.68545462744,0.06649396025676205,0.040980815588346584,0.0,0.0,0.0100455657200433,0.0390508947317586,1.0
2008-07-005,137367.9921877001,28098.68545462744,0.06649396025676205,0.040980815588346584,0.0,0.0,0.0124026205522658,0.0390508947317586,1.0
2008-07-013,137367.9921877001,28098.68545462744,0.06649396025676205,0.040980815588346584,0.0,0.0,0.0104725344143761,0.0390508947317586,1.0
